v_output_type,eta,zeta,i,unsat,sat,timeout
over,0.01,0.01,0,1,0,0
over,0.01,0.05,0,1,0,0
over,0.01,0.1,0,1,0,0
over,0.05,0.01,0,1,0,0
over,0.05,0.05,0,1,0,0
over,0.05,0.1,0,1,0,0
over,0.1,0.01,0,1,0,0
over,0.1,0.05,0,1,0,0
over,0.1,0.1,0,1,0,0
over,0.15,0.01,0,0,1,0
over,0.15,0.05,0,0,0,1
over,0.15,0.1,0,1,0,0
over,0.2,0.01,0,0,1,0
over,0.2,0.05,0,0,1,0
over,0.2,0.1,0,0,0,1
under,0.01,0.01,0,0,1,0
under,0.01,0.05,0,0,1,0
under,0.01,0.1,0,0,1,0
under,0.05,0.01,0,0,1,0
under,0.05,0.05,0,0,1,0
under,0.05,0.1,0,0,1,0
under,0.1,0.01,0,0,1,0
under,0.1,0.05,0,0,1,0
under,0.1,0.1,0,0,1,0
under,0.15,0.01,0,0,1,0
under,0.15,0.05,0,0,1,0
under,0.15,0.1,0,0,1,0
under,0.2,0.01,0,0,1,0
under,0.2,0.05,0,0,1,0
under,0.2,0.1,0,0,1,0
over,0.01,0.01,1,1,0,0
over,0.01,0.05,1,1,0,0
over,0.01,0.1,1,1,0,0
over,0.05,0.01,1,1,0,0
over,0.05,0.05,1,1,0,0
over,0.05,0.1,1,1,0,0
over,0.1,0.01,1,1,0,0
over,0.1,0.05,1,1,0,0
over,0.1,0.1,1,1,0,0
over,0.15,0.01,1,0,1,0
over,0.15,0.05,1,0,0,1
over,0.15,0.1,1,1,0,0
over,0.2,0.01,1,0,1,0
over,0.2,0.05,1,0,1,0
over,0.2,0.1,1,0,0,1
under,0.01,0.01,1,0,1,0
under,0.01,0.05,1,0,1,0
under,0.01,0.1,1,0,1,0
under,0.05,0.01,1,0,1,0
under,0.05,0.05,1,0,1,0
under,0.05,0.1,1,0,1,0
under,0.1,0.01,1,0,1,0
under,0.1,0.05,1,0,1,0
under,0.1,0.1,1,0,1,0
under,0.15,0.01,1,0,1,0
under,0.15,0.05,1,0,1,0
under,0.15,0.1,1,0,1,0
under,0.2,0.01,1,0,1,0
under,0.2,0.05,1,0,1,0
under,0.2,0.1,1,0,1,0
over,0.01,0.01,2,1,0,0
over,0.01,0.05,2,1,0,0
over,0.01,0.1,2,1,0,0
over,0.05,0.01,2,1,0,0
over,0.05,0.05,2,1,0,0
